"","PAU89988T_6h","PAU89988T_24h","PATU8902_6h","PATU8902_24h","AveExpr","F","P.Value","adj.P.Val"
"SLC2A13",0.247326029269295,0.281129582296138,0.0241288517666689,0.455292473934827,3.20605635163206,2.14658744402152,0.122387471459772,0.381612914619211
"MARCH8",-0.176538865512712,0.0698615501530049,-0.0252562718867928,0.186345265652164,3.27904655639353,2.14581449721993,0.122489270550201,0.381841407077215
"RREB1",0.139353747906729,0.181363087685193,0.015218102504035,0.00426455232235545,3.84697695990535,2.14548840920213,0.122532244551082,0.381871865339579
"ZC3H13",0.231662871608703,0.167789539906499,-0.135485044981715,-0.0538435850096493,6.17514843329777,2.14521204058198,0.122568678927411,0.381871865339579
"MINK1",0.114367161096659,0.131731267190457,0.0868418597848013,-0.122834148206433,4.19795582879145,2.14472072469903,0.122633479176891,0.381871865339579
"TMEM216",-0.0943506240729599,0.126295981327756,0.0962745274451278,-0.0412197549834987,4.53131395151196,2.14466680613651,0.122640592809546,0.381871865339579
"TRIM28",-0.285914605637299,-0.292171255886291,0.0828230089204371,-0.209168979760683,7.40720709973441,2.14452580161345,0.122659198048217,0.381871865339579
"GNPTAB",-0.0087700194321334,0.0724054881776981,-0.0423813617036171,0.166726264422331,4.87167960195571,2.1441591365914,0.122707592936717,0.381871865339579
"DEPTOR",-0.399699239428524,-0.311669087414215,0.27739552459175,0.564573454936053,1.21758681708535,2.14412786715047,0.122711721037635,0.381871865339579
"KPNA1",0.122689114423433,0.103958747209355,-0.0209447249577774,0.173462462715182,5.71831712894042,2.14358254917118,0.122783736403775,0.381871865339579
"PSMG1",0.178772856876433,0.0514607547978159,0.0159059874953185,0.32657118168204,7.21025180771744,2.1435041686804,0.122794091171218,0.381871865339579
"TYMS",-0.184636668910223,-0.213937341020088,0.00413480195060068,-0.0336721643747246,8.76983692001096,2.14336503013518,0.122812474941839,0.381871865339579
"DNLZ",-0.0675727711873506,-0.160918867094177,0.180390941263779,-0.30105697575708,3.88356743192843,2.14336275497576,0.122812775573398,0.381871865339579
"HSF1",-0.0849544887410305,-0.117233111356894,0.12907427149834,-0.247596815770408,6.07671371443818,2.14257969835651,0.122916293040314,0.381895217874369
"TRMT44",-0.0629009921436876,-0.160138419353086,0.292918998077191,0.225182316070052,2.6519272942354,2.14257834917072,0.122916471479283,0.381895217874369
"RNFT2",-0.294667890150945,-0.353718343860518,0.0123837171227552,-0.577004422071187,2.4907937646912,2.14251815726942,0.122924432550354,0.381895217874369
"LCAT",-0.433826390510859,-0.323039422167518,0.274205287141864,-0.0320426142033012,1.69604975943667,2.14244296669382,0.122934378149117,0.381895217874369
"CLASP2",0.0697394901960857,0.0118121514627436,0.0236485615233368,0.221264778355139,5.08028555864726,2.14119775615273,0.123099210630807,0.382023782108184
"MIER3",0.160817662398442,0.146409074082786,-0.048432821373523,0.27574236837212,4.70916721232701,2.14097578677559,0.12312861842467,0.382023782108184
"FAM133B",0.215220240670246,-0.188585159302936,0.107178852421453,0.686252431569178,3.19484937090666,2.14094045156128,0.123133300537731,0.382023782108184
